cluster_id,id_pista,name,MapBiom,OSM,OSMPoly,Manual,Dimas,id,i,col,row,area,area_rel,start_date,end_date
72,878632,Pista Marannhense,1,0,1,0,0,C66L52,5,66,52,769374555.6817309,99.56052601345937,NA,NA
73,2375,Pista 2375,1,0,0,0,0,C65L52,5,65,52,769374555.6817067,99.56052601345623,NA,NA
74,2393,Pista 2393,1,0,0,0,0,C66L52,5,66,52,769374555.6817309,99.56052601345937,NA,NA
75,19,Pista 19,1,0,0,1,0,C65L52,5,65,52,769374555.6817067,99.56052601345623,NA,NA
76,2374,Pista 2374,1,0,0,0,0,C65L52,5,65,52,769374555.6817067,99.56052601345623,NA,NA
77,878634,Pista São Bento,1,0,1,0,0,C66L52,5,66,52,769374555.6817309,99.56052601345937,NA,NA
78,2403,Pista 2403,1,0,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
79,24,Pista 24,0,0,0,1,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
80,2405,Pista 2405,1,0,0,0,0,C65L53,5,65,53,769683088.6385729,99.60045156499838,NA,NA
81,2368,Pista 2368,1,0,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
82,2404,Pista 2404,1,0,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
83,2366,Pista 2366,1,0,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
84,2369,Pista 2369,1,0,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
85,2406,Pista 2406,1,0,0,0,0,C65L53,5,65,53,769683088.6385729,99.60045156499838,NA,NA
86,2407,Pista 2407,1,0,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
87,27,Pista 27,1,0,0,1,0,C65L53,5,65,53,769683088.6385729,99.60045156499838,NA,NA
88,2367,Pista 2367,1,0,0,0,0,C65L53,5,65,53,769683088.6385729,99.60045156499838,NA,NA
89,2391,Pista 2391,1,0,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
90,2376,Pista 2376,1,0,0,0,0,C65L53,5,65,53,769683088.6385729,99.60045156499838,NA,NA
91,69306,Cara Preta,1,1,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
92,2379,Pista 2379,1,0,0,0,0,C65L53,5,65,53,769683088.6385729,99.60045156499838,NA,NA
93,2388,Pista 2388,1,0,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
94,28,Pista 28,1,0,0,1,0,C65L53,5,65,53,769683088.6385729,99.60045156499838,NA,NA
95,955,Pista 955,1,0,0,0,0,C65L53,5,65,53,769683088.6385729,99.60045156499838,NA,NA
96,2387,Pista 2387,1,0,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
97,2364,Pista 2364,1,0,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
98,2386,Pista 2386,1,0,0,0,0,C66L53,5,66,53,769683088.6385734,99.60045156499845,NA,NA
99,2384,Pista 2384,1,0,0,0,0,C66L54,5,66,54,769976967.8038583,99.63848085003795,NA,NA
100,607,Pista 607,1,0,0,0,0,C65L54,5,65,54,769976967.8038532,99.63848085003725,NA,NA
101,2385,Pista 2385,1,0,0,0,0,C66L54,5,66,54,769976967.8038583,99.63848085003795,NA,NA
102,2382,Pista 2382,1,0,0,0,0,C65L54,5,65,54,769976967.8038532,99.63848085003725,NA,NA
103,29,Pista 29,1,0,0,1,0,C66L54,5,66,54,769976967.8038583,99.63848085003795,NA,NA
104,30,Pista 30,1,0,0,1,0,C66L54,5,66,54,769976967.8038583,99.63848085003795,NA,NA
105,31,Pista 31,1,0,0,1,0,C66L55,5,66,55,770256187.5820668,99.67461314449258,NA,NA
106,78737,Creputiá,0,1,0,0,0,C67L41,5,67,41,765015422.2776527,98.99643455570597,NA,NA
107,206,Pista 206,1,0,0,0,1,C67L42,5,67,42,765484697.9280574,99.05716093436587,NA,NA
108,2419,Pista 2419,1,0,0,0,0,C68L43,5,68,43,765939399.7250152,99.116001390877,NA,NA
109,2422,Pista 2422,1,0,0,0,1,C67L44,5,67,44,766379519.0106648,99.17295480487329,NA,NA
